GMT_timestamp,local_timestamp,trial_file_version,link,calibration,id,age,gender,education,handedness,duration_s,,,,,,
2020-06-08_12:20:18,2020-06-08_15:20:18,2020-02-18_14:53:12,https://www.testable.org/experiment/3628/918641/start,1,p1,38,woman,Master/Doctorate,right-handed,721.798,,,,,,
,,,,,,,,,,,,,,,,
rowNo,type,condition1,trialNo,stim1,key,ITI,stimFormat,trialText,keyboard,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,correct
14,test,learn,1,B1_Identical_Left,2,500,.jpg,Which face did you just view?,1 2 3,499,30,16.62,141168,2,3959,1
15,test,learn,2,B2_Identical_Frontal,3,500,.jpg,Which face did you just view?,1 2 3,499,30,16.62,143796,3,2133,1
16,test,learn,3,B3_Identical_Right,3,500,.jpg,Which face did you just view?,1 2 3,499,30,16.62,146738,3,2448,1
21,test,learn,4,D1_Identical_Left,2,500,.jpg,Which face did you just view?,1 2 3,499,30,16.62,165552,2,2083,1
22,test,learn,5,D2_Identical_Frontal,3,500,.jpg,Which face did you just view?,1 2 3,499,30,16.62,168352,3,2306,1
23,test,learn,6,D3_Identical_Right,3,500,.jpg,Which face did you just view?,1 2 3,499,30,16.62,169842,3,1004,1
28,test,learn,7,J_1_Iden_L,3,500,.jpg,Which face did you just view?,1 2 3,498,30,16.61,189114,3,3023,1
29,test,learn,8,J_2_Iden_Front,3,500,.jpg,Which face did you just view?,1 2 3,498,30,16.61,191367,3,1754,1
30,test,learn,9,J_3_Iden_R,1,500,.jpg,Which face did you just view?,1 2 3,499,30,16.62,193599,1,1739,1
35,test,learn,10,M_1_Iden_L,2,500,.jpg,Which face did you just view?,1 2 3,499,30,16.62,211623,2,2146,1
36,test,learn,11,M_2_Iden_Front,3,500,.jpg,Which face did you just view?,1 2 3,499,30,16.63,214450,3,2329,1
37,test,learn,12,M_3_Iden_R,1,500,.jpg,Which face did you just view?,1 2 3,499,30,16.62,218084,1,3137,1
42,test,learn,13,N_1_Iden_L,3,500,.jpg,Which face did you just view?,1 2 3,499,30,16.62,237232,3,2556,1
43,test,learn,14,N_2_Iden_Front,1,500,.jpg,Which face did you just view?,1 2 3,499,30,16.63,240401,1,2683,1
44,test,learn,15,N_3_Iden_R,3,500,.jpg,Which face did you just view?,1 2 3,499,30,16.62,243643,3,2750,1
49,test,learn,16,Z_1_Iden_L,1,500,.jpg,Which face did you just view?,1 2 3,499,30,16.62,259258,1,1927,1
50,test,learn,17,Z_2_Iden_Front,3,500,.jpg,Which face did you just view?,1 2 3,499,30,16.62,261740,3,1983,1
